date,time,zipcode_id,alimentos,restaurantes,hoteles,ocio,health_goods,aerolineas,servicios,bienes,gasolina,total
20250601,7,4370,2961.07,,,,1430.0,,,4391.07,,4391.07
20250516,9,8030,811.5,,,,,,,811.5,,811.5
20250508,22,6170,4316.5,,,,,,135463.71,4316.5,,139780.21
20250604,3,6070,,,,,854.0,,,854.0,,854.0
20250607,16,5210,,7788.25,,,,,7788.25,,,7788.25
20250507,17,5210,,5198.74,,,,,5198.74,,,5198.74
20250503,11,4370,870.49,1162.62,,,4306.0,,1162.62,5176.49,,6339.11
20250515,11,3750,223.5,,,,,,,223.5,,223.5
20250506,6,8030,163.5,,,,,,,163.5,,163.5
20250604,9,16210,19710.13,,,,,,,19710.13,,19710.13
20250506,7,3750,101.5,,,,,,,101.5,,101.5
20250526,17,3750,242.0,,,,,,,242.0,,242.0
20250528,21,5210,,4860.74,,,,,4860.74,,,4860.74
20250612,7,16035,1180.5,,,,8731.0,,1248.0,9911.5,,11159.5
20250510,15,10640,2472.2,,,,,,,2472.2,,2472.2
20250514,18,16210,34687.89,,,,,,,34687.89,,34687.89
20250605,1,9020,391.98,776.0,,,,,1055.0,9250.98,,12562.25
20250607,7,6070,5099.37,,,,1332.01,,,6431.38,,6431.38
20250505,14,7790,1049.0,,,,,,,1049.0,,1049.0
20250526,8,10640,832.5,,,,,,,17662.06,,17662.06
20250529,10,15010,4131.0,,,,,,,4131.0,,4131.0
20250510,1,1460,1496.96,1754.0,,,,,1754.0,1496.96,,3250.96
20250502,22,4739,1496.7,,,,,,,1496.7,,1496.7
20250521,2,6200,283.52,260.0,,,47.0,,,590.52,,590.52
20250611,5,4739,77.0,,,,,,,77.0,,77.0
20250502,18,16035,2382.47,,,,42930.5,,,45312.97,,45312.97
20250511,11,8030,1679.5,,,,,,,1679.5,,1679.5
20250528,4,9020,3498.49,966.0,,,,,7012.0,13151.02,,22172.56
20250514,3,1460,3316.0,188.0,,,,,188.0,3316.0,,3504.0
20250503,3,7870,,,,,1891.0,,1830.0,1891.0,,3721.0
20250525,23,4739,3480.5,,,,,,,3480.5,,3480.5
20250513,4,4500,2676.96,,,,,,,16456.79,,16456.79
20250504,9,7209,529.0,,,,,,,529.0,,529.0
20250516,11,7209,366.0,,,,,,,366.0,,366.0
20250609,13,7209,1690.43,,,,,,,1690.43,,1690.43
20250612,8,7140,490.75,,,,,,,490.75,,490.75
20250604,21,6090,1886.06,,,,,,,1886.06,,1886.06
20250605,2,6200,,67.0,,,247.5,,,314.5,,314.5
20250525,11,1460,4765.4,876.0,,,,,876.0,106690.2,,107566.2
20250508,5,7870,92.0,,,,1659.52,,,1751.52,,1751.52
20250517,1,6200,112.5,33.0,,,328.0,,,473.5,,473.5
20250612,9,16035,1379.0,,,,6144.0,,2246.0,7523.0,,9769.0
20250506,1,6200,173.5,378.6,,,1801.51,,,2353.61,,2353.61
20250508,11,3750,324.0,,,,,,,324.0,,324.0
20250519,23,7140,1229.4,,,,,,,1229.4,,1229.4
20250519,9,8030,1114.5,,,,,,,1114.5,,1114.5
20250523,20,8030,555.0,,,,,,,555.0,,555.0
20250603,4,4370,1048.02,,,,230.0,,,1278.02,,1278.02
20250527,8,6070,5402.36,,,,2582.25,,,7984.61,,7984.61
20250516,13,5109,,,,,61397.5,,17112.01,353386.18,,370498.19
20250527,13,16035,1334.5,,,,27541.5,,,28876.0,,28876.0
20250609,22,6220,4117.9,,,,,,,4117.9,,4117.9
20250611,12,5210,,2618.25,,,,,2618.25,,,2618.25
